INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO
2.31,0.0,0.5379999999999999,6.575,65.2,4.09,1.0,296.0,15.3
7.07,0.0,0.469,6.421,78.9,4.9671,2.0,242.0,17.8
7.07,0.0,0.469,7.185,61.1,4.9671,2.0,242.0,17.8
2.18,0.0,0.458,6.997999999999998,45.8,6.0622,3.0,222.0,18.7
2.18,0.0,0.458,7.147,54.2,6.0622,3.0,222.0,18.7
2.18,0.0,0.458,6.43,58.7,6.0622,3.0,222.0,18.7
7.87,0.06995884773662553,0.524,6.0120000000000005,66.6,5.5605,5.0,311.0,15.2
7.87,0.0,0.524,6.1720000000000015,96.1,5.9505,5.0,311.0,15.2
7.87,0.0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2
7.87,0.06995884773662553,0.524,6.004,85.9,6.5921,5.0,311.0,15.2
7.87,0.0,0.524,6.377000000000002,94.3,6.3467,5.0,311.0,15.2
7.87,0.0,0.524,6.009,82.9,6.2267,5.0,311.0,15.2
7.87,0.0,0.524,5.8889999999999985,39.0,5.4509,5.0,311.0,15.2
8.14,0.0,0.5379999999999999,5.949,61.8,4.7075,4.0,307.0,21.0
8.14,0.06995884773662553,0.5379999999999999,6.096,84.5,4.4619,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.834,56.5,4.4986,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.935,29.3,4.4986,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.99,81.7,4.2579,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.456,36.6,3.7965,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.727,69.5,3.7965,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.57,98.1,3.7979,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.965,89.2,4.0123,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,6.142,91.7,3.9769,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.813,100.0,4.0952,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.924,94.1,4.3996,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.599,85.7,4.4546,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.813,90.3,4.682,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,6.0470000000000015,88.8,4.4534,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,6.495,94.4,4.4547,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,6.674,87.3,4.239,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.712999999999999,94.1,4.2330000000000005,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,6.072,100.0,4.175,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.95,82.0,3.99,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,5.7010000000000005,95.0,3.7872,4.0,307.0,21.0
8.14,0.0,0.5379999999999999,6.096,96.9,3.7598,4.0,307.0,21.0
5.96,0.0,0.499,5.933,68.2,3.3603,5.0,279.0,19.2
11.083991769547325,0.0,0.499,5.841,61.4,3.3779,5.0,279.0,19.2
5.96,0.0,0.499,5.85,41.5,3.9342,5.0,279.0,19.2
5.96,0.0,0.499,5.966,30.2,3.8473,5.0,279.0,19.2
2.95,0.0,0.428,6.595,21.8,5.4011,3.0,252.0,18.3
2.95,0.0,0.428,7.024,15.8,5.4011,3.0,252.0,18.3
6.91,0.0,0.448,6.77,2.9,5.7209,3.0,233.0,17.9
6.91,0.0,0.448,6.169,6.6,5.7209,3.0,233.0,17.9
6.91,0.06995884773662553,0.448,6.211,6.5,5.7209,3.0,233.0,17.9
6.91,0.0,0.448,6.069,40.0,5.7209,3.0,233.0,17.9
6.91,0.0,0.448,5.682,33.8,5.1004,3.0,233.0,17.9
6.91,0.0,0.448,5.7860000000000005,33.3,5.1004,3.0,233.0,17.9
11.083991769547325,0.0,0.448,6.03,85.5,5.6894,3.0,233.0,17.9
6.91,0.0,0.448,5.399,95.3,5.87,3.0,233.0,17.9
6.91,0.0,0.448,5.602,62.0,6.0877,3.0,233.0,17.9
5.64,0.0,0.439,5.962999999999999,45.7,6.8147,4.0,243.0,16.8
